Calibrando IMU...
IMU lista
Calibrando sensores...
Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
45287,510,110.92,-0.85,15.13,0.11,0.39
45342,511,112.66,-0.65,15.20,-0.04,1.61
45398,513,115.10,-1.00,15.83,-0.04,1.73
45453,514,117.81,-1.30,16.27,0.01,2.59
45508,516,120.68,-1.40,15.88,0.11,3.57
45563,517,122.95,-1.13,15.55,-0.14,3.93
45618,519,126.51,-0.67,14.92,0.06,6.38
45673,520,129.49,0.05,14.15,-0.04,3.32
45728,522,118.60,0.93,13.40,0.11,3.32
45790,524,107.82,1.64,11.71,0.01,2.35
45845,525,110.58,2.17,10.58,0.06,1.98
45900,527,99.78,2.11,11.12,0.06,1.98
45953,528,99.78,2.11,11.12,0.16,4.67
46007,530,95.76,2.03,11.12,-0.14,5.16
46059,531,95.76,2.03,11.12,-0.04,5.16
46113,533,98.26,1.63,11.32,-0.04,4.91
46168,534,99.58,2.10,11.88,0.06,5.28
46221,536,99.58,2.10,11.88,0.01,2.22
46273,537,99.58,2.10,11.88,0.11,3.08
46325,539,99.58,2.10,11.88,0.16,1.25
46377,540,99.58,2.10,11.88,0.20,1.61
46430,542,99.58,2.10,11.88,-0.09,1.61
46482,543,99.58,2.10,11.88,0.11,1.49
46536,545,93.49,0.75,11.89,0.01,2.35
46598,547,97.65,0.11,12.07,0.01,2.22
46653,548,87.80,0.12,11.52,-0.04,2.96
46708,550,91.42,0.83,11.24,-0.04,2.83
46764,551,95.99,1.56,11.02,-0.04,4.42
46817,553,95.99,1.56,11.02,0.20,1.98
46869,554,95.99,1.56,11.02,0.11,1.98
46921,556,95.99,1.56,11.02,0.01,0.88
46973,557,95.99,1.56,11.02,0.11,1.49
47026,559,95.99,1.56,11.02,0.06,3.20
47078,560,95.99,1.56,11.02,0.11,2.22
47130,562,95.99,1.56,11.02,0.20,3.93
47182,563,95.99,1.56,11.02,0.11,3.81
47234,565,95.99,1.56,11.02,0.11,2.83
47286,566,95.99,1.56,11.02,0.25,2.35
47338,568,95.99,1.56,11.02,0.01,3.45
47390,569,95.99,1.56,11.02,0.20,1.25
47442,571,95.99,1.56,11.02,0.20,0.51
47494,572,95.99,1.56,11.02,0.20,3.69
47546,574,95.99,1.56,11.02,0.01,3.69
47598,575,95.99,1.56,11.02,0.01,3.69
