time_s,hip_fl_rad,knee_fl_rad,hip_fr_rad,knee_fr_rad,hip_rl_rad,knee_rl_rad,hip_rr_rad,knee_rr_rad,hip_fl_deg,knee_fl_deg,hip_fr_deg,knee_fr_deg,hip_rl_deg,knee_rl_deg,hip_rr_deg,knee_rr_deg
3.15,-1.06350938711856,1.63797371777918,-1.14705127606959,1.55322008022447,-1.12813053879191,1.41837403300767,-0.899676377030728,1.6186280103144,-60.9345993544382,93.8489809820997,-65.721197003883,88.9929552518331,-64.6371186125961,81.2668458622885,-51.5476593314813,92.7405535926727
3.175,-1.07972816392618,1.61999448126461,-1.12417954042692,1.58122591069402,-1.11178409237317,1.43612087743883,-0.917070025288715,1.60187735987999,-61.8638668143796,92.8188466109474,-64.4107430814189,90.5975711394976,-63.7005362227653,82.2836651478695,-52.544241966999,91.7808120186824
3.2,-1.09618035974347,1.60132983912558,-1.09823617806552,1.6101081270267,-1.0966993342657,1.45335157705446,-0.935036473546304,1.58553655781116,-62.8065081984332,91.7494413902586,-62.924297911732,92.2524002383435,-62.8362432482316,83.2709115139028,-53.5736436249991,90.8445530262797
3.225,-1.11302763064077,1.58271117985753,-1.06989826981351,1.63960659301517,-1.0814630586347,1.46928347586489,-0.953201145652413,1.56904535409066,-63.7717857171618,90.6826707940076,-61.3006553686634,93.9425378415935,-61.9632689590776,84.18374207537,-54.6144026729181,89.8996766540044
3.25,-1.12995865550102,1.56438000293746,-1.03967750827598,1.66932031348902,-1.06521439932736,1.48265503527902,-0.970253362049682,1.55104156077716,-64.7418619844853,89.6323717229801,-59.5691332788914,95.6450086183763,-61.0322893580209,84.949875995308,-55.5914227038254,88.8681352819154
3.275,-1.14516148845043,1.54661913847167,-1.00808235783233,1.69864231295916,-1.04403067843435,1.49392881791455,-0.981491480723809,1.52713209772775,-65.6129201491289,88.6147491485862,-57.7588645053892,97.3250354348999,-59.8185515564683,85.595816159472,-56.2353194735201,87.4982239587602
3.3,-1.15677234820625,1.52874009281359,-0.975107933623421,1.72691063015729,-1.01434903782565,1.5066948013714,-0.984590601885418,1.49591025387519,-66.2781734096558,87.5903552906566,-55.8695691663449,98.94469070429,-58.1179188205656,86.3272531328831,-56.4128860362799,85.7093440773919
3.325,-1.17214459953692,1.51110663783499,-0.942994786336274,1.75545127686373,-0.987734317865602,1.52579887040718,-0.996352201421811,1.47355676316167,-67.1589385325174,86.5800327421486,-54.0296213599093,100.579949305143,-56.5930076939323,87.4218356601596,-57.0867760500383,84.4285834021223
3.35,-1.18685121043424,1.49297836003836,-0.909680933662901,1.77647136521414,-0.960805284214012,1.5345081263362,-1.003311076261,1.44459271595977,-68.0015652678752,85.5413589345608,-52.1208782024044,101.784311652613,-55.0500877193304,87.9208392675921,-57.4854902084836,82.7690657398359
3.375,-1.20071792462709,1.47588685373102,-0.876831535969623,1.7965754245212,-0.9315710909344,1.54481017528727,-1.00703713315304,1.41338721776498,-68.7960694668394,84.5620877576291,-50.2387463550328,102.936189401989,-53.3750918269389,88.5111031928255,-57.6989775426231,80.981122395671
